"year","SPECCD_ID","Inside","numcaught","wt"
"1",2015,"Alligatorfish",TRUE,10,0.4
"2",2015,"American Plaice",FALSE,151,11.8
"3",2015,"American Plaice",TRUE,304,23.6
"4",2015,"Anemones",FALSE,18,3.1
"5",2015,"Anemones",TRUE,61,2.8
"6",2015,"Arctic Eelpout",FALSE,2,0.3
"7",2015,"Atlantic Cod",FALSE,12,7.4
"8",2015,"Atlantic Cod",TRUE,147,38.1
"9",2015,"Atlantic Sea Poacher",FALSE,1,0.1
"10",2015,"Basket Star",FALSE,22,4.4
"11",2015,"Basket Star",TRUE,34,4.8
"12",2015,"Blood Star",FALSE,7,0.3
"13",2015,"Blood Star",TRUE,11,0.4
"14",2015,"Bobtail Squid",FALSE,6,0.3
"15",2015,"Bobtail Squid",TRUE,5,0.3
"16",2015,"Bristle Worm",TRUE,2,0.2
"17",2015,"Brittle Star",FALSE,14,0.3
"18",2015,"Brittle Star",TRUE,264,1.4
"19",2015,"Coral NS",TRUE,4,0.2
"20",2015,"Daubed Shanny",FALSE,1,0.1
"21",2015,"Eelpouts",FALSE,2,0.2
"22",2015,"Eelpouts",TRUE,12,1.5
"23",2015,"Fourbeard Rockling",FALSE,9,0.5
"24",2015,"Fourbeard Rockling",TRUE,5,0.3
"25",2015,"Fourline Snakeblenny",TRUE,4,0.3
"26",2015,"Halibut",FALSE,2,10.9
"27",2015,"Hermit Crab",FALSE,12,0.4
"28",2015,"Hermit Crab",TRUE,21,0.5
"29",2015,"Herring",FALSE,2,0.4
"30",2015,"Herring",TRUE,4,0.6
"31",2015,"Horse Star",FALSE,9,1.5
"32",2015,"Horse Star",TRUE,42,5.1
"33",2015,"Icelandic Scallop",TRUE,5,0.5
"34",2015,"Jellyfish",FALSE,5,0.3
"35",2015,"Jellyfish",TRUE,11,0.9
"36",2015,"Lesser Toad Crab",TRUE,26,1.645
"37",2015,"Longfin Hake",FALSE,52,4.1
"38",2015,"Longfin Hake",TRUE,169,11.2
"39",2015,"Mackerel",TRUE,1,0.1
"40",2015,"Marlinspike Grenadier",FALSE,29,0.7
"41",2015,"Marlinspike Grenadier",TRUE,79,2.5
"42",2015,"Monkfish",FALSE,2,12.5
"43",2015,"Monkfish",TRUE,2,15.2
"44",2015,"Mud Star",FALSE,371,2.9
"45",2015,"Mud Star",TRUE,263,1.5
"46",2015,"Northern Stone Crab",FALSE,21,3.941
"47",2015,"Northern Stone Crab",TRUE,17,3.167
"48",2015,"Octopus",FALSE,7,0.2
"49",2015,"Octopus",TRUE,6,0.4
"50",2015,"Purple Sunstar",FALSE,3,0.8
"51",2015,"Purple Sunstar",TRUE,3,0.4
"52",2015,"Redfish spp.",FALSE,63,9.2
"53",2015,"Redfish spp.",TRUE,4564,291.8
"54",2015,"Sand Dollar",TRUE,4,0.2
"55",2015,"Sculpin NS",FALSE,1,0.1
"56",2015,"Sculpin NS",TRUE,25,0.6
"57",2015,"Sculpins",TRUE,57,1.9
"58",2015,"Sea Cucumbers",TRUE,19,7
"59",2015,"Sea Pen",FALSE,268,1.2
"60",2015,"Sea Pen",TRUE,2550,7
"61",2015,"Sea Potato",FALSE,1,0.1
"62",2015,"Sea Potato",TRUE,314,13.4
"63",2015,"Sea Spider",TRUE,9,0.4
"64",2015,"Sea Squirts",TRUE,1,0.1
"65",2015,"Sea Stars",FALSE,27,0.9
"66",2015,"Sea Stars",TRUE,71,2.1
"67",2015,"Sea Urchin",TRUE,54,1.2
"68",2015,"Seaweeds",FALSE,5,0.3
"69",2015,"Seaweeds",TRUE,7,0.5
"70",2015,"Shortfin Squid",FALSE,1,0.1
"71",2015,"Shortfin Squid",TRUE,1,0.1
"72",2015,"Shrimp",FALSE,474,4.68
"73",2015,"Shrimp",TRUE,215,2.8
"74",2015,"Silver Hake",FALSE,1,0.1
"75",2015,"Silver Hake",TRUE,3,0.3
"76",2015,"Skate Eggs",FALSE,10,0.2
"77",2015,"Skate Eggs",TRUE,1,0.1
"78",2015,"Smooth Skate",FALSE,5,2.5
"79",2015,"Smooth Skate",TRUE,15,3.5
"80",2015,"Snailfish spp.",TRUE,1,0.1
"81",2015,"Snow Crab",FALSE,121,3.086
"82",2015,"Snow Crab",TRUE,309,11.826
"83",2015,"Spiny Lumpsucker",TRUE,2,0.2
"84",2015,"Spiny Sunstar",TRUE,11,0.6
"85",2015,"Sponges",FALSE,31,1
"86",2015,"Sponges",TRUE,566,32.8
"87",2015,"Striped Atlantic Wolffish",TRUE,20,2.2
"88",2015,"Thorny Skate",FALSE,28,2.4
"89",2015,"Thorny Skate",TRUE,40,19.85
"90",2015,"Toad Crab",TRUE,6,0.274
"91",2015,"Turbot",FALSE,2,0.2
"92",2015,"Turbot",TRUE,8,2
"93",2015,"Whelks",FALSE,7,0.4
"94",2015,"Whelks",TRUE,36,0.8
"95",2015,"White Hake",FALSE,41,14.9
"96",2015,"White Hake",TRUE,108,40.5
"97",2015,"Witch Flounder",FALSE,188,34.9
"98",2015,"Witch Flounder",TRUE,548,92.6
"99",2015,"Yellowtail Flounder",TRUE,9,0.7
"100",2016,"Alligatorfish",TRUE,3,0.2
"101",2016,"American Plaice",FALSE,105,10
"102",2016,"American Plaice",TRUE,431,33.7
"103",2016,"Anemones",FALSE,22,1.9
"104",2016,"Anemones",TRUE,51,1.2
"105",2016,"Atlantic Cod",FALSE,5,3.4
"106",2016,"Atlantic Cod",TRUE,41,17.6
"107",2016,"Atlantic Rock Crab",TRUE,1,0.29
"108",2016,"Atlantic Sea Poacher",FALSE,4,0.1
"109",2016,"Barnacles",TRUE,2,0.1
"110",2016,"Basket Star",FALSE,6,1.4
"111",2016,"Basket Star",TRUE,38,5.5
"112",2016,"Blood Star",FALSE,7,0.3
"113",2016,"Blood Star",TRUE,17,0.6
"114",2016,"Bobtail Squid",FALSE,1,0.1
"115",2016,"Bobtail Squid",TRUE,1,0.1
"116",2016,"Brittle Star",FALSE,1,0.1
"117",2016,"Brittle Star",TRUE,271,1
"118",2016,"Coral NS",TRUE,2,0.2
"119",2016,"Daubed Shanny",TRUE,1,0.1
"120",2016,"Eelpouts",FALSE,1,0.1
"121",2016,"Eelpouts",TRUE,NA,1.5
"122",2016,"Fourbeard Rockling",FALSE,2,0.1
"123",2016,"Fourbeard Rockling",TRUE,5,0.4
"124",2016,"Halibut",TRUE,1,1.5
"125",2016,"Hermit Crab",FALSE,16,0.3
"126",2016,"Hermit Crab",TRUE,27,0.7
"127",2016,"Herring",TRUE,91,12.8
"128",2016,"Horse Star",FALSE,18,1.4
"129",2016,"Horse Star",TRUE,48,5.7
"130",2016,"Jellyfish",TRUE,4,3.1
"131",2016,"Jonah Crab",TRUE,1,0.271
"132",2016,"Lesser Toad Crab",TRUE,41,3.732
"133",2016,"Longfin Hake",FALSE,43,4.5
"134",2016,"Longfin Hake",TRUE,54,4
"135",2016,"Marlinspike Grenadier",FALSE,33,1.1
"136",2016,"Marlinspike Grenadier",TRUE,67,2
"137",2016,"Monkfish",FALSE,1,3.3
"138",2016,"Monkfish",TRUE,2,15.4
"139",2016,"Mud Star",FALSE,4725,37.1
"140",2016,"Mud Star",TRUE,605,3.7
"141",2016,"Northern Stone Crab",FALSE,12,3.431
"142",2016,"Northern Stone Crab",TRUE,9,2.197
"143",2016,"Octopus",FALSE,4,0.3
"144",2016,"Octopus",TRUE,8,0.3
"145",2016,"Purple Sunstar",TRUE,4,0.4
"146",2016,"Redfish spp.",FALSE,547,43.1
"147",2016,"Redfish spp.",TRUE,1429,120.7
"148",2016,"Sand Dollar",TRUE,496,9.7
"149",2016,"Sculpin NS",TRUE,6,0.3
"150",2016,"Sculpins",FALSE,1,0.1
"151",2016,"Sculpins",TRUE,24,1.6
"152",2016,"Sea Cucumbers",TRUE,26,9.3
"153",2016,"Sea Pen",FALSE,58,0.2
"154",2016,"Sea Pen",TRUE,1250,3
"155",2016,"Sea Potato",TRUE,103,5.8
"156",2016,"Sea Spider",FALSE,1,0.1
"157",2016,"Sea Spider",TRUE,3,0.3
"158",2016,"Sea Squirts",FALSE,1,0.1
"159",2016,"Sea Squirts",TRUE,5,0.2
"160",2016,"Sea Stars",FALSE,17,0.3
"161",2016,"Sea Stars",TRUE,39,1.9
"162",2016,"Sea Urchin",FALSE,7,0.1
"163",2016,"Sea Urchin",TRUE,93,1.8
"164",2016,"Seaweeds",FALSE,7,0.3
"165",2016,"Seaweeds",TRUE,14,0.9
"166",2016,"Shortfin Squid",FALSE,1,0.1
"167",2016,"Shortfin Squid",TRUE,1,0.1
"168",2016,"Shrimp",FALSE,455,3.3
"169",2016,"Shrimp",TRUE,413,3.8
"170",2016,"Silver Hake",FALSE,16,3.1
"171",2016,"Silver Hake",TRUE,42,9.3
"172",2016,"Skate Eggs",FALSE,9,0.2
"173",2016,"Skate Eggs",TRUE,2,0.1
"174",2016,"Smooth Skate",FALSE,5,2.8
"175",2016,"Smooth Skate",TRUE,13,3.7
"176",2016,"Snow Crab",FALSE,138,10.65
"177",2016,"Snow Crab",TRUE,156,12.721
"178",2016,"Spiny Sunstar",TRUE,5,0.3
"179",2016,"Sponges",FALSE,14,1.5
"180",2016,"Sponges",TRUE,236,14.3
"181",2016,"Spotted Wolffish",TRUE,1,0.6
"182",2016,"Striped Atlantic Wolffish",TRUE,17,2.7
"183",2016,"Thorny Skate",FALSE,28,10.5
"184",2016,"Thorny Skate",TRUE,31,11.3
"185",2016,"Toad Crab",TRUE,1,0.11
"186",2016,"Turbot",FALSE,4,1.3
"187",2016,"Whelk Eggs",TRUE,1,0.1
"188",2016,"Whelks",FALSE,8,0.3
"189",2016,"Whelks",TRUE,25,0.8
"190",2016,"White Hake",FALSE,40,17
"191",2016,"White Hake",TRUE,31,10.3
"192",2016,"Witch Flounder",FALSE,244,39.5
"193",2016,"Witch Flounder",TRUE,414,65.5
"194",2016,"Yellowtail Flounder",TRUE,5,0.3
"195",2017,"Alligatorfish",TRUE,4,0.2
"196",2017,"American Plaice",FALSE,105,6.1
"197",2017,"American Plaice",TRUE,283,17.6
"198",2017,"Anemones",FALSE,14,1.5
"199",2017,"Anemones",TRUE,34,1.9
"200",2017,"Atlantic Cod",FALSE,3,2.2
"201",2017,"Atlantic Cod",TRUE,41,11.1
"202",2017,"Atlantic Saury",TRUE,1,0.1
"203",2017,"Atlantic Sea Poacher",FALSE,1,0.1
"204",2017,"Atlantic Sea Poacher",TRUE,1,0.1
"205",2017,"Basket Star",FALSE,6,1.3
"206",2017,"Basket Star",TRUE,45,7
"207",2017,"Blood Star",FALSE,7,0.2
"208",2017,"Blood Star",TRUE,3,0.1
"209",2017,"Bobtail Squid",TRUE,1,0.1
"210",2017,"Bristle Worm",FALSE,1,0.1
"211",2017,"Bristle Worm",TRUE,1,0.1
"212",2017,"Brittle Star",TRUE,198,1.1
"213",2017,"Clams",FALSE,1,0.1
"214",2017,"Coral NS",FALSE,1,0.1
"215",2017,"Eelpouts",FALSE,1,0.2
"216",2017,"Eelpouts",TRUE,3,0.4
"217",2017,"Fourbeard Rockling",TRUE,2,0.2
"218",2017,"Fourline Snakeblenny",TRUE,2,0.1
"219",2017,"Hermit Crab",FALSE,7,0.3
"220",2017,"Hermit Crab",TRUE,39,0.5
"221",2017,"Herring",TRUE,2,0.4
"222",2017,"Horse Star",FALSE,18,2.2
"223",2017,"Horse Star",TRUE,47,7.8
"224",2017,"Icelandic Scallop",TRUE,1,0.1
"225",2017,"Jellyfish",TRUE,1,0.1
"226",2017,"Lesser Toad Crab",TRUE,29,3.54
"227",2017,"Longfin Hake",FALSE,4,0.5
"228",2017,"Longfin Hake",TRUE,5,0.5
"229",2017,"Marlinspike Grenadier",FALSE,17,0.6
"230",2017,"Marlinspike Grenadier",TRUE,58,1.9
"231",2017,"Monkfish",FALSE,3,0.7
"232",2017,"Monkfish",TRUE,4,5.3
"233",2017,"Mud Star",FALSE,2478,17.7
"234",2017,"Mud Star",TRUE,685,3.8
"235",2017,"Northern Stone Crab",FALSE,19,4.455
"236",2017,"Northern Stone Crab",TRUE,9,1.679
"237",2017,"Octopus",FALSE,3,0.2
"238",2017,"Octopus",TRUE,7,0.3
"239",2017,"Purple Sunstar",TRUE,5,0.4
"240",2017,"Redfish spp.",FALSE,893,88.8
"241",2017,"Redfish spp.",TRUE,1582,200
"242",2017,"Sculpin NS",TRUE,23,1.1
"243",2017,"Sculpins",TRUE,29,1.5
"244",2017,"Sea Cucumbers",TRUE,12,3.1
"245",2017,"Sea Pen",FALSE,203,0.9
"246",2017,"Sea Pen",TRUE,891,2.8
"247",2017,"Sea Potato",TRUE,130,9.6
"248",2017,"Sea Spider",TRUE,3,0.2
"249",2017,"Sea Squirts",FALSE,1,0.1
"250",2017,"Sea Squirts",TRUE,5,0.1
"251",2017,"Sea Stars",FALSE,23,0.5
"252",2017,"Sea Stars",TRUE,27,1.1
"253",2017,"Sea Urchin",FALSE,5,0.1
"254",2017,"Sea Urchin",TRUE,38,2.1
"255",2017,"Seaweeds",FALSE,9,0.4
"256",2017,"Seaweeds",TRUE,40,0.9
"257",2017,"Shortfin Squid",FALSE,2,0.3
"258",2017,"Shortfin Squid",TRUE,5,1.1
"259",2017,"Shrimp",FALSE,596,3.9
"260",2017,"Shrimp",TRUE,171,2.1
"261",2017,"Silver Hake",FALSE,19,4
"262",2017,"Silver Hake",TRUE,19,4.3
"263",2017,"Skate Eggs",FALSE,1,0.1
"264",2017,"Skate Eggs",TRUE,3,0.2
"265",2017,"Smooth Skate",FALSE,9,4.5
"266",2017,"Smooth Skate",TRUE,21,8.5
"267",2017,"Snow Crab",FALSE,268,24.35
"268",2017,"Snow Crab",TRUE,141,12.981
"269",2017,"Spiny Sunstar",FALSE,1,0.1
"270",2017,"Spiny Sunstar",TRUE,7,0.6
"271",2017,"Sponges",FALSE,9,0.7
"272",2017,"Sponges",TRUE,534,23
"273",2017,"Striped Atlantic Wolffish",FALSE,2,0.4
"274",2017,"Striped Atlantic Wolffish",TRUE,6,2
"275",2017,"Thorny Skate",FALSE,20,14.1
"276",2017,"Thorny Skate",TRUE,43,12.6
"277",2017,"Toad Crab",TRUE,8,1.592
"278",2017,"Turbot",FALSE,4,0.9
"279",2017,"Turbot",TRUE,1,0.1
"280",2017,"Whelks",FALSE,9,0.3
"281",2017,"Whelks",TRUE,21,0.5
"282",2017,"White Hake",FALSE,10,5.3
"283",2017,"White Hake",TRUE,22,6.5
"284",2017,"Witch Flounder",FALSE,457,81.1
"285",2017,"Witch Flounder",TRUE,499,78.2
"286",2017,"Yellowtail Flounder",TRUE,12,1.1
"287",2018,"2221",FALSE,1,0.1
"288",2018,"Alligatorfish",TRUE,2,0.2
"289",2018,"American Plaice",FALSE,71,5.8
"290",2018,"American Plaice",TRUE,228,16
"291",2018,"Anemones",FALSE,14,2
"292",2018,"Anemones",TRUE,43,1.8
"293",2018,"Atlantic Cod",FALSE,25,23.6
"294",2018,"Atlantic Cod",TRUE,38,9.962
"295",2018,"Basket Star",FALSE,8,1.5
"296",2018,"Basket Star",TRUE,48,7
"297",2018,"Blood Star",FALSE,4,0.3
"298",2018,"Blood Star",TRUE,20,0.8
"299",2018,"Bristle Worm",TRUE,1,0.1
"300",2018,"Brittle Star",FALSE,2,0.1
"301",2018,"Brittle Star",TRUE,59,0.7
"302",2018,"Clams",TRUE,3,0.1
"303",2018,"Coral NS",TRUE,1,0.1
"304",2018,"Daubed Shanny",TRUE,1,0.7
"305",2018,"Eelpouts",FALSE,2,0.1
"306",2018,"Eelpouts",TRUE,1,0.2
"307",2018,"Fourbeard Rockling",FALSE,2,0.1
"308",2018,"Halibut",TRUE,1,1
"309",2018,"Hermit Crab",FALSE,2,0.1
"310",2018,"Hermit Crab",TRUE,17,0.5
"311",2018,"Herring",FALSE,3,0.3
"312",2018,"Horse Star",FALSE,18,2.5
"313",2018,"Horse Star",TRUE,86,11.8
"314",2018,"Icelandic Scallop",TRUE,2,0.1
"315",2018,"Jellyfish",FALSE,1,0.4
"316",2018,"Jellyfish",TRUE,7,1.4
"317",2018,"Lesser Toad Crab",FALSE,1,0.159
"318",2018,"Lesser Toad Crab",TRUE,59,6.081
"319",2018,"Longfin Hake",FALSE,23,1.9
"320",2018,"Longfin Hake",TRUE,50,4.1
"321",2018,"Marlinspike Grenadier",FALSE,19,0.7
"322",2018,"Marlinspike Grenadier",TRUE,62,2
"323",2018,"Monkfish",FALSE,1,0.693
"324",2018,"Monkfish",TRUE,1,4.2
"325",2018,"Mud Star",FALSE,1841,14.6
"326",2018,"Mud Star",TRUE,272,4.4
"327",2018,"Northern Stone Crab",FALSE,17,5.217
"328",2018,"Northern Stone Crab",TRUE,26,6.046
"329",2018,"Octopus",FALSE,6,0.2
"330",2018,"Octopus",TRUE,9,0.5
"331",2018,"Purple Sunstar",TRUE,3,0.3
"332",2018,"Redfish spp.",FALSE,118,12.8
"333",2018,"Redfish spp.",TRUE,1710,193.1
"334",2018,"Sand Dollar",TRUE,204,4.8
"335",2018,"Sculpin NS",TRUE,1,0.1
"336",2018,"Sculpins",TRUE,18,1.7
"337",2018,"Sea Cucumbers",TRUE,38,10.4
"338",2018,"Sea Mouse",FALSE,1,0.1
"339",2018,"Sea Pen",FALSE,111,0.3
"340",2018,"Sea Pen",TRUE,1926,6.8
"341",2018,"Sea Potato",TRUE,261,18.8
"342",2018,"Sea Slug",FALSE,1,0.1
"343",2018,"Sea Spider",TRUE,6,0.3
"344",2018,"Sea Squirts",FALSE,1,0.1
"345",2018,"Sea Squirts",TRUE,2,0.1
"346",2018,"Sea Stars",FALSE,37,1.5
"347",2018,"Sea Stars",TRUE,52,1.3
"348",2018,"Sea Urchin",TRUE,149,2.3
"349",2018,"Seaweeds",FALSE,1,0.1
"350",2018,"Seaweeds",TRUE,3,0.3
"351",2018,"Shortfin Squid",FALSE,1,0.2
"352",2018,"Shortfin Squid",TRUE,13,2.8
"353",2018,"Shrimp",FALSE,524,4.2
"354",2018,"Shrimp",TRUE,111,1.2
"355",2018,"Silver Hake",FALSE,35,6
"356",2018,"Silver Hake",TRUE,12,2
"357",2018,"Skate Eggs",FALSE,2,0.1
"358",2018,"Skate Eggs",TRUE,3,0.1
"359",2018,"Smooth Skate",FALSE,15,4.2
"360",2018,"Smooth Skate",TRUE,38,12.6
"361",2018,"Snow Crab",FALSE,297,33.723
"362",2018,"Snow Crab",TRUE,218,11.609
"363",2018,"Spiny Sunstar",TRUE,14,0.9
"364",2018,"Sponges",FALSE,32,1.2
"365",2018,"Sponges",TRUE,789,28
"366",2018,"Striped Atlantic Wolffish",TRUE,17,3.3
"367",2018,"Thorny Skate",FALSE,22,10.7
"368",2018,"Thorny Skate",TRUE,39,8.6
"369",2018,"Toad Crab",TRUE,1,0.001
"370",2018,"Turbot",FALSE,3,0.2
"371",2018,"Turbot",TRUE,1,0.1
"372",2018,"Whelk Eggs",TRUE,1,0.1
"373",2018,"Whelks",FALSE,7,0.2
"374",2018,"Whelks",TRUE,28,0.6
"375",2018,"White Hake",FALSE,46,15.2
"376",2018,"White Hake",TRUE,33,9.9
"377",2018,"Witch Flounder",FALSE,2453,576.3
"378",2018,"Witch Flounder",TRUE,1067,203
"379",2018,"Yellowtail Flounder",TRUE,10,0.7
"380",2019,"6111",FALSE,1,0.1
"381",2019,"Alligatorfish",TRUE,5,0.3
"382",2019,"American Plaice",FALSE,159,13.1
"383",2019,"American Plaice",TRUE,379,25.4
